                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0436,                 4.0065,                 1.4272,                0.00457,                0.32292,                0.03868,                0.01756,                 1.7075,                 3.9063,                 1.2455,             0.00018577,             0.00018577,             0.00018577
                      2,                 1.7853,                 2.5237,                 1.2075,                 0.0077,                0.53451,                0.18612,                0.09427,                 1.6266,                 3.4776,                  1.164,             0.00036673,             0.00036673,             0.00036673
                      3,                 1.7262,                 2.0241,                 1.2009,                 0.7134,                0.20462,                0.38279,                0.20361,                 1.5623,                  3.259,                 1.1731,             0.00052789,             0.00052789,             0.00052789
                      4,                 1.6469,                 1.6859,                 1.2155,                0.94282,                0.09979,                0.42825,                0.23103,                 1.6064,                 3.1734,                 1.2084,             0.00066924,             0.00066924,             0.00066924
                      5,                 1.6116,                 1.5075,                 1.2026,                 0.9167,                0.12584,                0.63572,                0.33248,                 1.5927,                 2.8198,                 1.2196,             0.00079078,             0.00079078,             0.00079078
                      6,                  1.541,                 1.3865,                 1.1827,                0.96773,                0.39787,                0.72033,                0.39114,                 1.6236,                 2.5151,                  1.207,             0.00089252,             0.00089252,             0.00089252
                      7,                 1.5418,                 1.3324,                 1.1766,                0.98315,                0.41071,                0.76019,                0.41439,                 1.5947,                  2.362,                 1.1915,             0.00097445,             0.00097445,             0.00097445
                      8,                 1.5293,                 1.2657,                 1.1352,                0.86871,                0.68528,                0.81254,                0.46043,                 1.6219,                  1.698,                 1.2041,             0.00093385,             0.00093385,             0.00093385
                      9,                 1.4775,                 1.2233,                 1.1324,                0.86252,                0.71744,                0.81985,                0.44332,                 1.6363,                 1.6043,                 1.1923,             0.00086312,             0.00086312,             0.00086312
                     10,                 1.4583,                 1.1765,                 1.1222,                0.88202,                0.72509,                 0.8418,                 0.4605,                  1.604,                  1.575,                 1.1677,             0.00079238,             0.00079238,             0.00079238
                     11,                 1.4347,                 1.2834,                 1.1256,                0.90208,                0.70661,                0.80899,                0.45799,                 1.5875,                 1.6595,                 1.1772,             0.00072164,             0.00072164,             0.00072164
                     12,                  1.397,                 1.2074,                 1.1321,                 0.8918,                0.68828,                0.83674,                0.46554,                 1.5934,                 1.4881,                 1.1649,             0.00065091,             0.00065091,             0.00065091
                     13,                 1.3964,                 1.1782,                 1.1067,                0.82309,                0.63071,                0.69569,                0.38162,                  1.614,                 1.2576,                 1.1836,             0.00058017,             0.00058017,             0.00058017
                     14,                 1.3769,                 1.1284,                 1.0973,                0.85929,                0.79113,                0.87911,                  0.491,                 1.5683,                 1.1718,                 1.1724,             0.00050944,             0.00050944,             0.00050944
                     15,                 1.3537,                  1.096,                 1.0742,                0.86467,                0.79001,                0.87343,                0.48538,                 1.5758,                  1.158,                  1.174,              0.0004387,              0.0004387,              0.0004387
                     16,                 1.3075,                 1.0439,                 1.0698,                0.88396,                0.79609,                0.87686,                0.49723,                 1.5905,                 1.1167,                 1.1817,             0.00036797,             0.00036797,             0.00036797
                     17,                  1.312,                 1.0249,                 1.0732,                0.91027,                0.77904,                0.87643,                0.49741,                 1.6145,                 1.1128,                 1.1828,             0.00029723,             0.00029723,             0.00029723
                     18,                 1.2977,                 1.0051,                 1.0481,                 0.9203,                0.78726,                0.88873,                0.50774,                 1.5555,                 1.0408,                 1.1536,              0.0002265,              0.0002265,              0.0002265
                     19,                 1.2762,                0.99798,                 1.0501,                0.89715,                0.81046,                0.89143,                0.51189,                 1.5493,                 1.0256,                 1.1507,             0.00015576,             0.00015576,             0.00015576
                     20,                 1.2523,                0.96974,                 1.0498,                0.89941,                0.80709,                0.89711,                0.51798,                 1.5454,                 1.0152,                 1.1543,             8.5026e-05,             8.5026e-05,             8.5026e-05
